step,train_error,val_error,test_error,gap,val_error_raw,test_error_raw,gap_raw,seed,K,m1,eta_mode,eta_name
510,0.5022077679634094,0.09058649837970734,0.0886987566947937,-0.001887741684913638,0.33686530590057373,0.3486302757263184,0.011764969825744653,100,1,100,fixed,Fixed
540,0.4252143740653992,0.09853235632181168,0.08426085948944091,-0.014271496832370764,0.45017486810684204,0.36784584045410157,-0.08232902765274047,100,1,100,fixed,Fixed
570,0.3557614922523499,0.0828767940402031,0.07854269981384278,-0.004334094226360316,0.3637916147708893,0.3811229991912842,0.01733138442039489,100,1,100,fixed,Fixed
600,0.3065838754177094,0.08397732675075531,0.07279979467391967,-0.011177532076835639,0.39820337295532227,0.3861002826690674,-0.012103090286254892,100,1,100,fixed,Fixed
0,0.2890211880207062,0.27173975110054016,0.27247419357299807,0.000734442472457908,0.567756175994873,0.5638243484497071,-0.003931827545165967,100,1,100,exp,Decaying
30,0.3334721982479095,0.22619014978408813,0.21990964889526368,-0.006280500888824453,0.468511164188385,0.4590268516540527,-0.009484312534332295,100,1,100,exp,Decaying
60,0.5786718487739563,0.18650415539741516,0.18393796920776367,-0.002566186189651487,0.395451158285141,0.3839998626708984,-0.011451295614242574,100,1,100,exp,Decaying
90,0.9234379291534424,0.1147678792476654,0.11343337059020996,-0.0013345086574554493,0.2526113986968994,0.23589749336242677,-0.016713905334472645,100,1,100,exp,Decaying
120,1.130463171005249,0.08250425010919571,0.07920156478881836,-0.0033026853203773493,0.1642085462808609,0.16481583595275878,0.0006072896718978815,100,1,100,exp,Decaying
150,1.238039493560791,0.07650625705718994,0.06859972476959228,-0.007906532287597662,0.15902860462665558,0.14337073326110839,-0.015657871365547193,100,1,100,exp,Decaying
180,1.2843717575073241,0.06373743712902069,0.06553030014038086,0.0017928630113601685,0.15473836660385132,0.13774734497070312,-0.016991021633148196,100,1,100,exp,Decaying
210,1.2953428983688355,0.0633123517036438,0.06820926904678344,0.004896917343139642,0.1609792411327362,0.14455605030059815,-0.016423190832138057,100,1,100,exp,Decaying
240,1.29145188331604,0.08696094155311584,0.07729825496673584,-0.009662686586380004,0.17779627442359924,0.16589981079101562,-0.01189646363258362,100,1,100,exp,Decaying
270,1.2695212602615356,0.0779447928071022,0.08648526430130005,0.008540471494197843,0.20039547979831696,0.18823962211608886,-0.0121558576822281,100,1,100,exp,Decaying
300,1.2468385457992555,0.1024649441242218,0.10143178939819336,-0.0010331547260284402,0.21172434091567993,0.22515578269958497,0.01343144178390504,100,1,100,exp,Decaying
330,1.2428259611129762,0.13829806447029114,0.11974511623382568,-0.018552948236465458,0.2428169548511505,0.2723314380645752,0.029514483213424703,100,1,100,exp,Decaying
360,1.2515070915222168,0.14436516165733337,0.1316676902770996,-0.012697471380233777,0.29408419132232666,0.3060105323791504,0.01192634105682372,100,1,100,exp,Decaying
390,1.2481833934783935,0.09510325640439987,0.144308443069458,0.04920518666505813,0.26956766843795776,0.3431668186187744,0.07359915018081664,100,1,100,exp,Decaying
420,1.2902458667755128,0.13820846378803253,0.15648458480834962,0.018276121020317088,0.3914300203323364,0.3809296703338623,-0.010500349998474101,100,1,100,exp,Decaying
450,1.309974479675293,0.17095854878425598,0.1677234172821045,-0.0032351315021514893,0.3636307716369629,0.41763328552246093,0.05400251388549804,100,1,100,exp,Decaying
480,1.3231646537780761,0.16717034578323364,0.17095276832580567,0.0037824225425720226,0.4816899597644806,0.43253257751464846,-0.04915738224983213,100,1,100,exp,Decaying
510,1.3403409719467163,0.16266602277755737,0.17234281063079834,0.00967678785324097,0.4254286289215088,0.44210883140563967,0.01668020248413088,100,1,100,exp,Decaying
540,1.390058207511902,0.20844115316867828,0.17886750221252443,-0.029573650956153857,0.567376434803009,0.4667703819274902,-0.10060605287551883,100,1,100,exp,Decaying
570,1.419916605949402,0.18438419699668884,0.18148828506469727,-0.0028959119319915683,0.4558027982711792,0.47987070083618166,0.024067902565002464,100,1,100,exp,Decaying
