m1,step,val_error,val_error,test_error,test_error,gap,gap,gap_raw,gap_raw
,,mean,std,mean,std,mean,std,mean,std
100,0,0.2798774987459183,0.011508513087263467,0.2818412256240844,0.01324698376582993,0.0019637268781661998,0.0017384706785664279,0.0013546466827393001,0.00747620355023937
100,10,0.1538182899355888,0.07410999691690703,0.14812876462936395,0.07577835957555172,-0.00568952530622482,0.01589580507428711,-0.04944850796461105,0.07387375202030795
100,100,0.14484859928488727,0.0610189047385783,0.13850227761268613,0.062264054969925695,-0.0063463216722011205,0.007734651292152433,-0.02285322806239127,0.05225871807129206
100,150,0.15116291791200634,0.05279215241244041,0.13444736742973323,0.0561288474748334,-0.01671555048227306,0.01375073561920799,-0.04728954172134397,0.07419686993799482
100,200,0.14518728405237197,0.05125444621160064,0.12965786790847772,0.04770732098260281,-0.01552941614389417,0.021075729605406796,-0.02275190234184265,0.11596312882428897
100,250,0.13676519766449927,0.0381943196397718,0.1243359506130218,0.041007370724457384,-0.01242924705147741,0.022366970922048438,-0.0642612915039062,0.07266733543004948
100,300,0.1268174737691879,0.03292629243061072,0.1216618795394897,0.03934907314623929,-0.00515559422969818,0.021467444896827073,-0.05342498674988745,0.06533963034147877
500,0,0.28310809178011753,0.009211696493748844,0.2823041286468506,0.010718327955578756,-0.000803963133267,0.001506631461829867,-0.0013872490950992996,0.00428979790481326
500,10,0.13309820374207834,0.09037212533582453,0.1455443377256393,0.08557108901150252,0.01244613398356093,0.01043690872838285,0.03128138239532706,0.031104723525687845
500,100,0.14842069308672629,0.06104323017656162,0.16605763425827025,0.0557113363425697,0.01763694117154389,0.010517877923691474,0.04965017508268353,0.03782488893030356
500,150,0.1438571435000215,0.05656535838448738,0.16426415262222288,0.05141014803033725,0.02040700912220133,0.011121979749809325,0.05576437010509623,0.03946520039045141
500,200,0.14095532936709265,0.05019865978761312,0.16070400457382197,0.045167414764947116,0.01974867520672928,0.011110283978254337,0.06253291004896161,0.046909449250077714
500,250,0.13495451744113646,0.04236394788493786,0.15721685504913324,0.04056266974854114,0.02226233760799674,0.010090678049233248,0.065368966785499,0.03890974876323345
500,300,0.13222711543951712,0.04103797954904376,0.1554626613616943,0.041164275424955,0.02323554592217712,0.009612535545557839,0.06882036727837149,0.041005633615353886
1000,0,0.2833001544078191,0.00966538082566379,0.283463418006897,0.01062727727580369,0.00016326359907785002,0.0009618964501398419,0.0002681084473927499,0.0026035525583204154
1000,10,0.16692466815312704,0.06883427657163387,0.16930927667617796,0.06815353726551486,0.0023846085230509505,0.005964944209095925,0.00607136752605438,0.013552642517855288
1000,100,0.15822741324702896,0.058311565169893026,0.16179523382186883,0.05809061863109809,0.0035678205748398903,0.005996481754027069,0.00632458625237148,0.016592017815331445
1000,150,0.15518378811577951,0.05370367703613721,0.1588521404266357,0.0534028181092738,0.0036683523108562003,0.006544601223263441,0.008137406841913846,0.015179482523705984
1000,200,0.1515941016624371,0.047597177672908074,0.1549794754743576,0.04702445416687593,0.00338537381192046,0.00787017762250841,0.00693508671720824,0.01901891423272739
1000,250,0.14803109268347417,0.04263598330066692,0.1509366190910339,0.04213234366032688,0.0029055264075597102,0.00689025435354435,0.00574172411759694,0.01756630619967772
1000,300,0.14447672312458354,0.04295228384990034,0.14901860997676847,0.04249340049025132,0.00454188685218492,0.006551152365720583,0.00937296134630839,0.018975876366706994
