step,train_error,val_error,test_error,gap,val_error_raw,test_error_raw,gap_raw,seed,K,m1,eta_mode
10,0.2925596714019775,0.2857404192288716,0.2866355838775635,0.0008951646486918,0.6511095801989237,0.6537945747375489,0.0026849945386251,101,300,1000,exp
100,0.2812842130661011,0.2502220869064331,0.2525811929702758,0.0023591060638427,0.5607236425081888,0.5657985210418701,0.0050748785336812,101,300,1000,exp
150,0.2838223874568939,0.2351699103911717,0.2379937095642089,0.0028237991730372,0.522150194644928,0.5295029850006103,0.0073527903556823,101,300,1000,exp
200,0.2888426184654236,0.2226288765668869,0.2263149003982544,0.0036860238313674,0.4919382949670156,0.501260705947876,0.0093224109808603,101,300,1000,exp
250,0.3077704131603241,0.215705054004987,0.2199263668060302,0.0042213128010432,0.4780504624048868,0.4869310073852539,0.008880544980367,101,300,1000,exp
300,0.3438941240310669,0.2151212513446808,0.2211145839691162,0.0059933326244354,0.4772132853666941,0.4928545951843261,0.015641309817632,101,300,1000,exp
10,0.3575992524623871,0.2168944776058197,0.2227570400238037,0.0058625624179839,0.4815552314122518,0.4981496810913086,0.0165944496790567,101,300,1000,exp
100,0.5069313228130341,0.2147325277328491,0.2237783737182617,0.0090458459854126,0.4967601120471954,0.517429630279541,0.0206695182323455,101,300,1000,exp
150,0.5930945396423339,0.1897202501694361,0.2020563440322876,0.0123360938628514,0.4475655893484751,0.4754535179138183,0.0278879285653432,101,300,1000,exp
200,0.6616362571716309,0.1699724396069844,0.1830165252685547,0.0130440856615702,0.4154183546702067,0.4406740818023681,0.0252557271321614,101,300,1000,exp
250,0.7019353985786438,0.1539505173762639,0.1652319188117981,0.0112814014355341,0.3784761826197306,0.4063462905883789,0.0278701079686482,101,300,1000,exp
300,0.7261865496635437,0.1402720620234807,0.1514367232322692,0.0111646612087885,0.3423830389976501,0.37947780418396,0.0370947651863098,101,300,1000,exp
10,0.7289260506629944,0.1396885390082995,0.1496961393356323,0.0100076003273328,0.3486019472281138,0.3767115392684936,0.0281095920403798,101,300,1000,exp
100,0.7374285936355591,0.1246391082803408,0.136309606552124,0.0116704982717831,0.3247047354777654,0.3537151117324829,0.0290103762547175,101,300,1000,exp
150,0.7358983635902405,0.1221555342276891,0.1318661332130432,0.0097105989853541,0.3228471914927164,0.3474402732849121,0.0245930817921956,101,300,1000,exp
200,0.7324505805969238,0.1163979267080625,0.128261827468872,0.0118639007608095,0.3177878866593043,0.3426112194061279,0.0248233327468236,101,300,1000,exp
250,0.7279115080833435,0.1166925072669982,0.1264049987792968,0.0097124915122985,0.3155894001324971,0.3425097360610962,0.026920335928599,101,300,1000,exp
300,0.7244374036788941,0.1153359775741895,0.1255630059242248,0.0102270283500353,0.322167377670606,0.3452234954833984,0.0230561178127924,101,300,1000,exp
10,0.7227947354316712,0.1145643919706344,0.1248054699897766,0.0102410780191421,0.3239705244700114,0.3437434530258179,0.0197729285558064,101,300,1000,exp
100,0.7160929560661315,0.1142657041549682,0.124207622051239,0.0099419178962707,0.328678751985232,0.3505504484176636,0.0218716964324315,101,300,1000,exp
150,0.7144338130950928,0.1135830248395601,0.1252874126434326,0.0117043878038724,0.3338458249966303,0.3589847936630249,0.0251389686663945,101,300,1000,exp
200,0.7097256064414978,0.1148583759864171,0.1263348698616027,0.0114764938751856,0.3437712679306666,0.3673230991363525,0.0235518312056859,101,300,1000,exp
250,0.7060393452644348,0.1183770060539245,0.1275543384552002,0.0091773324012756,0.3626578191916147,0.3763828334808349,0.0137250142892201,101,300,1000,exp
300,0.7069794774055481,0.115906640390555,0.1290720691680908,0.0131654287775357,0.3627570728460947,0.386694465637207,0.0239373927911122,101,300,1000,exp
10,0.7077044010162353,0.1191728244225184,0.128955904006958,0.0097830795844395,0.3674372603495915,0.3871787300109863,0.0197414696613947,101,300,1000,exp
100,0.7056609392166138,0.122443779806296,0.1328918757438659,0.0104480959375699,0.3840067972739537,0.4110048723220825,0.0269980750481287,101,300,1000,exp
150,0.7023849487304688,0.1248386671145757,0.1350125517845153,0.0101738846699396,0.4025948286056519,0.424506516456604,0.0219116878509521,101,300,1000,exp
200,0.7018291354179382,0.12650664995114,0.1375744004249572,0.0110677504738171,0.4042812446753184,0.4401888551712036,0.0359076104958852,101,300,1000,exp
250,0.7002971172332764,0.1282633488376935,0.1396542692184448,0.0113909203807512,0.4257886985937754,0.4543878087997436,0.0285991102059682,101,300,1000,exp
300,0.7022799253463745,0.1309106439352035,0.1423214955329895,0.0114108515977859,0.438918720682462,0.471630184173584,0.0327114634911219,101,300,1000,exp
0,0.2890211880207062,0.2717397511005401,0.272474193572998,0.0007344424724579,0.567756175994873,0.5638243484497071,-0.0039318275451659,100,300,100,exp
10,0.2894436180591583,0.2645688354969024,0.2653616523742675,0.000792816877365,0.5469567179679871,0.549236888885498,0.0022801709175109,100,300,100,exp
100,0.3435918688774109,0.2251749634742736,0.2235107707977295,-0.0016641926765441,0.4549992680549621,0.4602881622314453,0.0052888941764831,100,300,100,exp
150,0.4531132876873016,0.2257928997278213,0.2143778705596923,-0.0114150291681289,0.4500337243080139,0.4414516067504883,-0.0085821175575256,100,300,100,exp
200,0.6125346422195435,0.1872243583202362,0.1850171089172363,-0.0022072494029998,0.4089197516441345,0.3803917121887207,-0.0285280394554138,100,300,100,exp
250,0.8056052446365356,0.1417197287082672,0.1436590337753296,0.0019393050670623,0.2860795259475708,0.2947053527832031,0.0086258268356323,100,300,100,exp
300,0.984850549697876,0.1107099652290344,0.1121603775024414,0.0014504122734069,0.2576366364955902,0.2298354911804199,-0.0278011453151702,100,300,100,exp
10,1.0126176118850707,0.1052867770195007,0.1070465183258056,0.0017597413063049,0.2306286692619323,0.2194190788269042,-0.011209590435028,100,300,100,exp
100,1.2215594530105591,0.0857394486665725,0.0797229886054992,-0.0060164600610733,0.1822508871555328,0.1635688591003418,-0.018682028055191,100,300,100,exp
150,1.2806299686431886,0.0869176238775253,0.0731937360763549,-0.0137238878011703,0.1596851050853729,0.1504059028625488,-0.0092792022228241,100,300,100,exp
200,1.3351378202438355,0.0589761435985565,0.0695052337646484,0.0105290901660919,0.1371933370828628,0.1431042337417602,0.0059108966588974,100,300,100,exp
250,1.3632056951522826,0.0690208300948143,0.0681241774559021,-0.0008966526389121,0.1539943963289261,0.1405940437316894,-0.0134003525972366,100,300,100,exp
300,1.3833911895751954,0.0841560885310173,0.0687958812713623,-0.0153602072596549,0.1202818527817726,0.1424099206924438,0.0221280679106712,100,300,100,exp
10,1.3838304996490478,0.0632744058966636,0.0687834596633911,0.0055090537667274,0.1408808231353759,0.1424981498718261,0.0016173267364502,100,300,100,exp
100,1.3743788719177246,0.0739027708768844,0.073534026145935,-0.0003687447309494,0.1159029528498649,0.1534100437164306,0.0375070908665657,100,300,100,exp
